flight_id,flight_date,airline_code,airline_name,flight_number,origin,destination,domestic,distance_km,aircraft_type,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay_min,arrival_delay_min,delay_reason,cancelled,traveller_class,seats_booked,load_factor
48,2024-01-01,QR,Qatar Airways,QR375,KUL,DAC,False,2642.3,Airbus A320,2024-01-01T22:35:00,2024-01-01T22:35:00,2024-01-02T02:06:23.040000,2024-01-02T02:06:23.040000,0.0,0.0,None,False,Economy,270,0.77
49,2024-01-01,MH,Malaysia Airlines,MH100,BKK,DAC,False,1567.8,Bombardier Dash 8-Q400,2024-01-01T20:20:00,2024-01-01T20:24:00,2024-01-01T22:25:25.440000,2024-01-01T22:25:25.440000,4.0,0.0,None,False,Economy,182,0.52
50,2024-01-01,VQ,NovoAir,VQ754,CGP,CXB,True,90.0,Boeing 787-8,2024-01-01T05:55:00,2024-01-01T05:55:00,2024-01-01T06:25:00,2024-01-01T06:29:00,0.0,4.0,None,False,Economy,155,0.78
51,2024-01-01,TG,Thai Airways,TG597,DAC,KUL,False,2642.3,Airbus A320,2024-01-01T16:50:00,2024-01-01T16:50:00,2024-01-01T20:21:23.040000,2024-01-01T20:25:23.040000,0.0,4.0,None,False,Economy,262,0.75
52,2024-01-01,EK,Emirates,EK207,DAC,BKK,False,1567.8,Boeing 787-8,2024-01-01T14:30:00,2024-01-01T14:31:00,2024-01-01T16:35:25.440000,2024-01-01T16:35:25.440000,1.0,0.0,None,False,Economy,155,0.44
53,2024-01-01,SQ,Singapore Airlines,SQ245,DEL,DAC,False,1425.3,Airbus A320,2024-01-01T08:45:00,2024-01-01T09:06:00,2024-01-01T10:39:01.440000,2024-01-01T10:50:01.440000,21.0,11.0,Carrier (Operations),False,Economy,295,0.84
54,2024-01-01,AI,Air India,AI135,KUL,DAC,False,2642.3,Airbus A320,2024-01-01T12:20:00,2024-01-01T12:23:00,2024-01-01T15:51:23.040000,2024-01-01T15:51:23.040000,3.0,0.0,None,False,Economy,315,0.9
55,2024-01-01,BS,US-Bangla Airlines,BS944,DAC,RJH,True,192.5,Boeing 777-300ER,2024-01-01T19:40:00,2024-01-01T19:53:00,2024-01-01T20:10:00,2024-01-01T20:17:00,13.0,7.0,Late Aircraft,False,Economy,82,0.41
56,2024-01-01,BS,US-Bangla Airlines,BS548,DAC,RJH,True,192.5,Bombardier Dash 8-Q400,2024-01-01T15:10:00,2024-01-01T15:13:00,2024-01-01T15:40:00,2024-01-01T15:41:00,3.0,1.0,None,False,Business,102,0.51
57,2024-01-01,BS,US-Bangla Airlines,BS867,CXB,CGP,True,90.0,Boeing 777-300ER,2024-01-01T14:40:00,2024-01-01T14:51:00,2024-01-01T15:10:00,2024-01-01T15:14:00,11.0,4.0,None,False,Economy,139,0.69
58,2024-01-01,VQ,NovoAir,VQ566,DAC,JSR,True,145.9,Boeing 787-8,2024-01-01T06:45:00,2024-01-01T06:56:00,2024-01-01T07:15:00,2024-01-01T07:15:00,11.0,0.0,Air Traffic Control,False,Economy,80,0.4
59,2024-01-01,BS,US-Bangla Airlines,BS191,DAC,BKK,False,1567.8,Boeing 737-800,2024-01-01T18:30:00,2024-01-01T18:30:00,2024-01-01T20:35:25.440000,2024-01-01T20:35:25.440000,0.0,0.0,None,False,Economy,198,0.57
60,2024-01-01,2A,Air Astra,2A843,SPD,DAC,True,260.9,Airbus A320,2024-01-01T07:40:00,2024-01-01T07:41:00,2024-01-01T08:10:00,2024-01-01T08:12:00,1.0,2.0,None,False,Economy,123,0.61
61,2024-01-01,BG,Biman Bangladesh Airlines,BG720,DAC,CCU,False,239.2,Airbus A320,2024-01-01T07:35:00,2024-01-01T08:14:00,2024-01-01T08:05:00,2024-01-01T08:26:00,39.0,21.0,Weather,False,Economy,215,0.61
62,2024-01-01,BG,Biman Bangladesh Airlines,BG259,DXB,DAC,False,3536.8,ATR 72-600,2024-01-01T20:55:00,2024-01-01T20:58:00,2024-01-02T01:37:56.640000,2024-01-02T01:37:56.640000,3.0,0.0,Carrier (Operations),False,Economy,233,0.67
63,2024-01-01,BG,Biman Bangladesh Airlines,BG869,RJH,DAC,True,192.5,Airbus A320,2024-01-01T19:15:00,2024-01-01T19:15:00,2024-01-01T19:45:00,2024-01-01T19:51:00,0.0,6.0,None,False,Economy,102,0.51
64,2024-01-01,BG,Biman Bangladesh Airlines,BG330,BZL,DAC,True,116.3,Airbus A320,2024-01-01T06:40:00,2024-01-01T07:23:00,2024-01-01T07:10:00,2024-01-01T07:51:00,43.0,41.0,Carrier (Operations),False,Economy,93,0.47
65,2024-01-01,2A,Air Astra,2A119,DAC,CGP,True,228.9,Airbus A320,2024-01-01T21:30:00,2024-01-01T21:33:00,2024-01-01T22:00:00,2024-01-01T22:00:00,3.0,0.0,None,False,Economy,175,0.88
66,2024-01-01,VQ,NovoAir,VQ217,JSR,DAC,True,145.9,Airbus A320,2024-01-01T17:00:00,2024-01-01T17:03:00,2024-01-01T17:30:00,2024-01-01T17:30:00,3.0,0.0,None,False,Economy,137,0.69
67,2024-01-02,BG,Biman Bangladesh Airlines,BG803,JSR,DAC,True,145.9,Boeing 737-800,2024-01-02T09:15:00,2024-01-02T10:06:00,2024-01-02T09:45:00,2024-01-02T10:50:00,51.0,65.0,Weather,False,Economy,113,0.56
68,2024-01-02,2A,Air Astra,2A618,DAC,CXB,True,310.7,Boeing 737-800,2024-01-02T10:05:00,2024-01-02T10:05:00,2024-01-02T10:35:00,2024-01-02T10:40:00,0.0,5.0,None,False,Economy,73,0.36
69,2024-01-02,BS,US-Bangla Airlines,BS522,DAC,BZL,True,116.3,ATR 72-600,2024-01-02T21:00:00,2024-01-02T21:00:00,2024-01-02T21:30:00,2024-01-02T21:30:00,0.0,0.0,None,False,Economy,81,0.41
70,2024-01-02,2A,Air Astra,2A480,BZL,DAC,True,116.3,Boeing 737-800,2024-01-02T13:35:00,2024-01-02T13:41:00,2024-01-02T14:05:00,2024-01-02T14:09:00,6.0,4.0,None,False,Economy,175,0.88
71,2024-01-02,BS,US-Bangla Airlines,BS976,DAC,DEL,False,1425.3,ATR 72-600,2024-01-02T07:50:00,2024-01-02T08:31:00,2024-01-02T09:44:01.440000,2024-01-02T10:08:01.440000,41.0,24.0,Weather,False,Economy,317,0.91
72,2024-01-02,BG,Biman Bangladesh Airlines,BG800,BKK,DAC,False,1567.8,Airbus A320,2024-01-02T13:15:00,2024-01-02T13:18:00,2024-01-02T15:20:25.440000,2024-01-02T15:21:25.440000,3.0,1.0,None,False,Economy,250,0.71
73,2024-01-02,BS,US-Bangla Airlines,BS100,SIN,DAC,False,2896.7,Airbus A320,2024-01-02T12:30:00,2024-01-02T13:12:00,2024-01-02T16:21:44.160000,2024-01-02T16:45:44.160000,42.0,24.0,Carrier (Operations),False,Economy,236,0.67
74,2024-01-02,SQ,Singapore Airlines,SQ606,DEL,DAC,False,1425.3,Airbus A320,2024-01-02T21:40:00,2024-01-02T21:40:00,2024-01-02T23:34:01.440000,2024-01-02T23:36:01.440000,0.0,2.0,None,False,Business,292,0.83
75,2024-01-02,2A,Air Astra,2A972,RJH,DAC,True,192.5,Bombardier Dash 8-Q400,2024-01-02T18:25:00,2024-01-02T18:30:00,2024-01-02T18:55:00,2024-01-02T18:55:00,5.0,0.0,None,False,Economy,89,0.45
76,2024-01-02,VQ,NovoAir,VQ125,RJH,DAC,True,192.5,ATR 72-600,2024-01-02T12:20:00,2024-01-02T12:21:00,2024-01-02T12:50:00,2024-01-02T12:50:00,1.0,0.0,None,False,Economy,87,0.43
77,2024-01-02,BG,Biman Bangladesh Airlines,BG241,DAC,SPD,True,260.9,ATR 72-600,2024-01-02T07:15:00,2024-01-02T08:25:00,2024-01-02T07:45:00,2024-01-02T08:46:00,70.0,61.0,Weather,False,Economy,108,0.54
78,2024-01-02,2A,Air Astra,2A349,DXB,DAC,False,3536.8,Airbus A320,2024-01-02T09:35:00,,2024-01-02T14:17:56.640000,,,,Carrier (Operations),True,Business,296,0.85
79,2024-01-02,QR,Qatar Airways,QR476,DAC,BKK,False,1567.8,Bombardier Dash 8-Q400,2024-01-02T11:55:00,2024-01-02T12:08:00,2024-01-02T14:00:25.440000,2024-01-02T14:14:25.440000,13.0,14.0,Carrier (Operations),False,Economy,184,0.53
80,2024-01-02,VQ,NovoAir,VQ924,CXB,CGP,True,90.0,ATR 72-600,2024-01-02T08:55:00,2024-01-02T09:00:00,2024-01-02T09:25:00,2024-01-02T09:25:00,5.0,0.0,None,False,Economy,115,0.57
81,2024-01-02,BG,Biman Bangladesh Airlines,BG174,DAC,BKK,False,1567.8,ATR 72-600,2024-01-02T17:15:00,2024-01-02T17:23:00,2024-01-02T19:20:25.440000,2024-01-02T19:20:25.440000,8.0,0.0,Carrier (Operations),False,Economy,149,0.43
82,2024-01-02,VQ,NovoAir,VQ998,BKK,DAC,False,1567.8,Airbus A320,2024-01-02T14:05:00,2024-01-02T14:16:00,2024-01-02T16:10:25.440000,2024-01-02T16:10:25.440000,11.0,0.0,Carrier (Operations),False,Economy,143,0.41
83,2024-01-02,BG,Biman Bangladesh Airlines,BG345,BZL,DAC,True,116.3,ATR 72-600,2024-01-02T15:30:00,2024-01-02T16:12:00,2024-01-02T16:00:00,2024-01-02T16:41:00,42.0,41.0,Late Aircraft,False,Economy,155,0.78
84,2024-01-02,AI,Air India,AI905,DOH,DAC,False,3912.7,Boeing 787-8,2024-01-02T07:50:00,2024-01-02T08:32:00,2024-01-02T13:03:00.960000,2024-01-02T14:06:00.960000,42.0,63.0,Carrier (Operations),False,Economy,313,0.89
85,2024-01-02,VQ,NovoAir,VQ203,CXB,DAC,True,310.7,ATR 72-600,2024-01-02T13:05:00,2024-01-02T13:40:00,2024-01-02T13:35:00,2024-01-02T13:55:00,35.0,20.0,Weather,False,Economy,104,0.52
86,2024-01-02,BG,Biman Bangladesh Airlines,BG332,ZYL,DAC,True,194.0,Airbus A320,2024-01-02T17:20:00,2024-01-02T17:39:00,2024-01-02T17:50:00,2024-01-02T18:12:00,19.0,22.0,Air Traffic Control,False,Economy,159,0.8
87,2024-01-02,BS,US-Bangla Airlines,BS393,DAC,ZYL,True,194.0,Boeing 737-800,2024-01-02T21:30:00,2024-01-02T21:33:00,2024-01-02T22:00:00,2024-01-02T22:02:00,3.0,2.0,None,False,Economy,87,0.43
88,2024-01-02,TG,Thai Airways,TG824,DAC,DEL,False,1425.3,Boeing 787-8,2024-01-02T15:20:00,2024-01-02T15:21:00,2024-01-02T17:14:01.440000,2024-01-02T17:14:01.440000,1.0,0.0,None,False,Economy,140,0.4
89,2024-01-02,2A,Air Astra,2A265,DAC,CGP,True,228.9,Boeing 737-800,2024-01-02T15:25:00,2024-01-02T15:27:00,2024-01-02T15:55:00,2024-01-02T15:59:00,2.0,4.0,None,False,Economy,147,0.73
90,2024-01-02,BG,Biman Bangladesh Airlines,BG237,BZL,DAC,True,116.3,Boeing 787-8,2024-01-02T07:40:00,2024-01-02T07:48:00,2024-01-02T08:10:00,2024-01-02T08:10:00,8.0,0.0,None,False,Economy,84,0.42
91,2024-01-02,SQ,Singapore Airlines,SQ627,DEL,DAC,False,1425.3,Boeing 737-800,2024-01-02T20:50:00,2024-01-02T20:53:00,2024-01-02T22:44:01.440000,2024-01-02T22:45:01.440000,3.0,1.0,None,False,Economy,127,0.36
92,2024-01-02,2A,Air Astra,2A332,CXB,DAC,True,310.7,Boeing 787-8,2024-01-02T21:50:00,2024-01-02T21:55:00,2024-01-02T22:20:00,2024-01-02T22:20:00,5.0,0.0,None,False,Premium Economy,131,0.66
93,2024-01-02,BG,Biman Bangladesh Airlines,BG657,RJH,DAC,True,192.5,Bombardier Dash 8-Q400,2024-01-02T09:25:00,2024-01-02T09:46:00,2024-01-02T09:55:00,2024-01-02T10:04:00,21.0,9.0,Weather,False,Economy,152,0.76
94,2024-01-02,BG,Biman Bangladesh Airlines,BG253,DAC,DOH,False,3912.7,ATR 72-600,2024-01-02T10:15:00,2024-01-02T10:16:00,2024-01-02T15:28:00.960000,2024-01-02T15:34:00.960000,1.0,6.0,None,False,Economy,199,0.57
95,2024-01-02,BG,Biman Bangladesh Airlines,BG752,DAC,DXB,False,3536.8,ATR 72-600,2024-01-02T17:45:00,2024-01-02T17:45:00,2024-01-02T22:27:56.640000,2024-01-02T22:44:56.640000,0.0,17.0,None,False,Economy,186,0.53
96,2024-01-02,2A,Air Astra,2A832,DAC,SPD,True,260.9,Boeing 737-800,2024-01-02T08:20:00,2024-01-02T08:20:00,2024-01-02T08:50:00,2024-01-02T08:50:00,0.0,0.0,None,False,Business,168,0.84
97,2024-01-02,2A,Air Astra,2A635,CGP,DAC,True,228.9,Airbus A320,2024-01-02T14:15:00,2024-01-02T14:27:00,2024-01-02T14:45:00,2024-01-02T14:45:00,12.0,0.0,Air Traffic Control,False,Economy,121,0.6
98,2024-01-02,BS,US-Bangla Airlines,BS595,DAC,SPD,True,260.9,Boeing 787-8,2024-01-02T19:25:00,2024-01-02T19:26:00,2024-01-02T19:55:00,2024-01-02T19:56:00,1.0,1.0,None,False,Economy,75,0.38
99,2024-01-02,TG,Thai Airways,TG692,DAC,DOH,False,3912.7,Bombardier Dash 8-Q400,2024-01-02T06:50:00,2024-01-02T08:37:00,2024-01-02T12:03:00.960000,2024-01-02T13:53:00.960000,107.0,110.0,Air Traffic Control,False,Economy,311,0.89
100,2024-01-02,BG,Biman Bangladesh Airlines,BG435,DAC,BZL,True,116.3,Boeing 737-800,2024-01-02T10:35:00,2024-01-02T11:29:00,2024-01-02T11:05:00,2024-01-02T11:48:00,54.0,43.0,Carrier (Operations),False,Economy,179,0.9
101,2024-01-02,BG,Biman Bangladesh Airlines,BG417,DEL,DAC,False,1425.3,Airbus A320,2024-01-02T22:40:00,2024-01-02T22:40:00,2024-01-03T00:34:01.440000,2024-01-03T00:34:01.440000,0.0,0.0,None,False,Premium Economy,260,0.74
102,2024-01-02,SQ,Singapore Airlines,SQ303,CCU,DAC,False,239.2,Boeing 737-800,2024-01-02T11:50:00,2024-01-02T11:50:00,2024-01-02T12:20:00,2024-01-02T12:23:00,0.0,3.0,None,False,Economy,285,0.81
103,2024-01-02,BG,Biman Bangladesh Airlines,BG694,DAC,DEL,False,1425.3,Boeing 737-800,2024-01-02T14:20:00,2024-01-02T14:27:00,2024-01-02T16:14:01.440000,2024-01-02T16:14:01.440000,7.0,0.0,None,False,Economy,217,0.62
104,2024-01-02,AI,Air India,AI370,DAC,BKK,False,1567.8,Boeing 737-800,2024-01-02T08:50:00,,2024-01-02T10:55:25.440000,,,,Carrier (Operations),True,Economy,240,0.69
105,2024-01-02,MH,Malaysia Airlines,MH688,KUL,DAC,False,2642.3,Bombardier Dash 8-Q400,2024-01-02T18:10:00,2024-01-02T18:13:00,2024-01-02T21:41:23.040000,2024-01-02T21:41:23.040000,3.0,0.0,None,False,Economy,192,0.55
106,2024-01-02,2A,Air Astra,2A234,BZL,DAC,True,116.3,ATR 72-600,2024-01-02T15:25:00,2024-01-02T16:39:00,2024-01-02T15:55:00,2024-01-02T17:03:00,74.0,68.0,Late Aircraft,False,Business,144,0.72
107,2024-01-02,VQ,NovoAir,VQ666,CXB,DAC,True,310.7,Boeing 737-800,2024-01-02T09:15:00,2024-01-02T09:16:00,2024-01-02T09:45:00,2024-01-02T09:45:00,1.0,0.0,None,False,Economy,120,0.6
108,2024-01-02,EK,Emirates,EK705,SIN,DAC,False,2896.7,Airbus A320,2024-01-02T05:00:00,2024-01-02T05:24:00,2024-01-02T08:51:44.160000,2024-01-02T09:23:44.160000,24.0,32.0,Weather,False,Economy,147,0.42
109,2024-01-02,QR,Qatar Airways,QR304,DXB,DAC,False,3536.8,ATR 72-600,2024-01-02T20:00:00,2024-01-02T20:09:00,2024-01-03T00:42:56.640000,2024-01-03T00:43:56.640000,9.0,1.0,None,False,Economy,132,0.38
